h,mean,0.95
0.0,-0.11629234350926575,"(-0.19442534753783472, -0.024184052496571243)"
0.005025125628140704,-0.11672343674920199,"(-0.19508019722813943, -0.02428336988681548)"
0.010050251256281407,-0.11715773798803494,"(-0.19573947306299824, -0.02438350638044295)"
0.01507537688442211,-0.117595283168191,"(-0.19640322006920335, -0.024484472152537285)"
0.020100502512562814,-0.11803610877104118,"(-0.19707148388636336, -0.024586277547412366)"
0.02512562814070352,-0.11848025182704112,"(-0.19774431077736443, -0.024688933082145294)"
0.03015075376884422,-0.11892774992610021,"(-0.19842174763904635, -0.024792449450198213)"
0.035175879396984924,-0.11937864122818705,"(-0.19910384201309905, -0.024896837525131638)"
0.04020100502512563,-0.11983296447417686,"(-0.19979064209718442, -0.025002108364411982)"
0.04522613065326633,-0.12029075899694752,"(-0.2004821967562893, -0.025108273213316098)"
0.05025125628140704,-0.12075206473273116,"(-0.20117855553431488, -0.025215343508935725)"
0.05527638190954774,-0.1212169222327276,"(-0.2018797686659087, -0.025323330884284824)"
0.06030150753768844,-0.1216853726749874,"(-0.20258588708854464, -0.025432247172512894)"
0.06532663316582915,-0.12215745787657124,"(-0.20329696245485768, -0.025542104411227545)"
0.07035175879396985,-0.12263322030599372,"(-0.20401304714523905, -0.02565291484692948)"
0.07537688442211056,-0.12311270309595883,"(-0.20473419428069875, -0.025764690939563573)"
0.08040201005025126,-0.12359595005639544,"(-0.20546045773600155, -0.025877445367189274)"
0.08542713567839195,-0.12408300568780119,"(-0.20619189215308387, -0.025991191030774356)"
0.09045226130653267,-0.1245739151949028,"(-0.20692855295475807, -0.026105941059115536)"
0.09547738693467336,-0.1250687245006422,"(-0.20767049635871163, -0.026221708813890035)"
0.10050251256281408,-0.12556748026049713,"(-0.20841777939180867, -0.026338507894842222)"
0.10552763819095477,-0.12607022987714603,"(-0.20917045990470096, -0.02645635214510935)"
0.11055276381909548,-0.12657702151548625,"(-0.20992859658675747, -0.026575255656691096)"
0.11557788944723618,-0.12708790411801624,"(-0.21069224898131875, -0.026695232776067057)"
0.12060301507537688,-0.1276029274205918,"(-0.21146147750128647, -0.026816298109967277)"
0.12562814070351758,-0.1281221419685666,"(-0.21223634344505488, -0.026938466531300383)"
0.1306532663316583,-0.12864559913332899,"(-0.21301690901279438, -0.027061753185244553)"
0.135678391959799,-0.1291733511292452,"(-0.21380323732309559, -0.027186173495506553)"
0.1407035175879397,-0.12970545103102174,"(-0.2145953924299831, -0.027311743170754126)"
0.1457286432160804,-0.13024195279149867,"(-0.2153934393403096, -0.02743847821122759)"
0.15075376884422112,-0.13078291125988598,"(-0.21619744403153873, -0.027566394915536266)"
0.15577889447236182,-0.13132838220045664,"(-0.21700747346992813, -0.027695509887645995)"
0.16080402010050251,-0.13187842231170943,"(-0.21782359562912296, -0.027825840044063882)"
0.1658291457286432,-0.13243308924601488,"(-0.21864587950917008, -0.027957402621226892)"
0.1708542713567839,-0.13299244162975982,"(-0.21947439515596492, -0.028090215183101036)"
0.17587939698492464,-0.13355653908400397,"(-0.220309213681142, -0.028224295628998194)"
0.18090452261306533,-0.13412544224566467,"(-0.22115040728242125, -0.028359662201617872)"
0.18592964824120603,-0.13469921278924554,"(-0.221998049264422, -0.028496333495321508)"
0.19095477386934673,-0.13527791344912501,"(-0.2228522140599577, -0.02863432846464717)"
