h,0.85,0.9,0.95
0.4040404040404041,"(-0.30916886362579793, -0.07622603705319539)","(-0.3250807466813493, -0.06118396295097534)","(-0.34665030399857927, -0.037200351443138636)"
0.4141414141414142,"(-0.31315214492617216, -0.07720812090353785)","(-0.32926903409225355, -0.06197224716772101)","(-0.35111649007402396, -0.03767963471420616)"
0.42424242424242425,"(-0.31723940577759213, -0.07821584106478767)","(-0.33356665253247664, -0.06278110875090724)","(-0.35569926144385083, -0.03817142919289156)"
0.43434343434343436,"(-0.3214347714453684, -0.0792502146271613)","(-0.33797793958087985, -0.06361136408313146)","(-0.3604032434912801, -0.03867623124651186)"
0.4444444444444445,"(-0.3257425883393696, -0.08031231320439045)","(-0.3425074653424501, -0.06446387331110198)","(-0.36523330955408756, -0.03919456385132259)"
0.4545454545454546,"(-0.33016743903403584, -0.08140326663692861)","(-0.3471600482413431, -0.06533954331807182)","(-0.3701945977655386, -0.03972697839978188)"
0.4646464646464647,"(-0.33471415852943254, -0.08252426700113757)","(-0.3519407721188393, -0.0662393309418719)","(-0.37529252928681617, -0.04027405665714108)"
0.4747474747474748,"(-0.33938785187464504, -0.08367657295436136)","(-0.35685500476375476, -0.06716424646254932)","(-0.3805328280669514, -0.040836412881957426)"
0.48484848484848486,"(-0.3441939132885602, -0.0848615144491829)","(-0.36190841801730594, -0.06811535738633563)","(-0.3859215422816725, -0.04141469612677779)"
0.494949494949495,"(-0.34913804692859696, -0.08608049785398508)","(-0.3671070096107365, -0.06909379255574136)","(-0.3914650676199898, -0.042009592737109885)"
0.5050505050505051,"(-0.3542262894755039, -0.08733501152126567)","(-0.3724571269124785, -0.0701007466190468)","(-0.3971701726070128, -0.04262182906890935)"
0.5151515151515152,"(-0.35946503472223174, -0.08862663185006)","(-0.3779654927825323, -0.07113748489639593)","(-0.40304402617380447, -0.0432521744472047)"
0.5252525252525253,"(-0.3648610603774668, -0.08995702989439147)","(-0.383639233755487, -0.0722053486841673)","(-0.40909422771038406, -0.04390144439119847)"
0.5353535353535354,"(-0.37042155732008547, -0.09132797857600011)","(-0.3894859108006039, -0.07330576104437822)","(-0.4153288398667846, -0.04457050413427232)"
0.5454545454545455,"(-0.376154161570042, -0.09274136056681205)","(-0.39551355293813856, -0.07444023313166599)","(-0.4217564243998642, -0.04526027247084365)"
0.5555555555555556,"(-0.38206698927458893, -0.09419917691484338)","(-0.401730694026184, -0.07561037111699806)","(-0.4283860814010079, -0.04597172596603811)"
0.5656565656565657,"(-0.38816867504691904, -0.09570355649664865)","(-0.40814641307247457, -0.07681788377482053)","(-0.43522749228267454, -0.04670590356873813)"
0.5757575757575758,"(-0.39446841403808314, -0.09725676639021397)","(-0.4147703784716033, -0.07806459080901502)","(-0.4422909669508155, -0.04746391167383308)"
0.5858585858585859,"(-0.4009760081733011, -0.09886122327458727)","(-0.421612896620961, -0.07935243200298167)","(-0.4495874956465481, -0.048246929685544705)"
0.595959595959596,"(-0.4077019170416375, -0.10051950597680256)","(-0.4286849654295325, -0.08068347729061455)","(-0.4571288060053348, -0.04905621614066288)"
0.6060606060606061,"(-0.41465731399474487, -0.10223436930310748)","(-0.4359983333038538, -0.08205993785814221)","(-0.46492742595674014, -0.0498931154585557)"
0.6161616161616162,"(-0.4218541480875416, -0.10400875931052816)","(-0.44356556427656857, -0.08348417840207663)","(-0.472996753174357, -0.05075906539410303)"
0.6262626262626263,"(-0.42930521258310866, -0.10584583019685222)","(-0.45140011003704184, -0.08495873068620924)","(-0.48135113188575135, -0.0516556052804613)"
0.6363636363636365,"(-0.43702422084799275, -0.107748963012727)","(-0.4595163897327396, -0.08648630856115515)","(-0.4900059379687735, -0.05258438516106962)"
0.6464646464646465,"(-0.44502589058511205, -0.10972178642940626)","(-0.4679298785373193, -0.08806982463389397)","(-0.4989776733962643, -0.053547175924867366)"
0.6565656565656566,"(-0.45332603749279565, -0.1117681998305236)","(-0.4766572061299855, -0.08971240880272549)","(-0.5082840712496518, -0.05454588057569931)"
0.6666666666666667,"(-0.46194167960398647, -0.11389239903707625)","(-0.48571626640468096, -0.09141742890581059)","(-0.5179442127074996, -0.05558254678679787)"
0.6767676767676768,"(-0.4708911537540006, -0.11609890502272191)","(-0.4951263399320504, -0.0931885137699317)","(-0.527978657632991, -0.05665938091461859)"
0.686868686868687,"(-0.4801942458541581, -0.11839259603293373)","(-0.504908230937818, -0.09502957899141042)","(-0.538409590641011, -0.057778763673849556)"
0.696969696969697,"(-0.4898723369190372, -0.12077874358823404)","(-0.5150844208455732, -0.0969448558346388)","(-0.5492609848287093, -0.05894326770795553)"
0.7070707070707072,"(-0.4999485671156197, -0.12326305293075197)","(-0.5256792407689753, -0.09893892369711084)","(-0.5605587857128005, -0.060155677328183395)"
0.7171717171717172,"(-0.5104480204836783, -0.12585170856730604)","(-0.5367190657390785, -0.10101674666525526)","(-0.572331118344141, -0.061419010739808474)"
0.7272727272727273,"(-0.5213979334314223, -0.12855142567431146)","(-0.5482325339305479, -0.10318371477534946)","(-0.5846085210799081, -0.06273654512910866)"
0.7373737373737375,"(-0.5328279306547791, -0.13136950826402544)","(-0.560250794722915, -0.10544569070152181)","(-0.597424210104063, -0.06411184505005288)"
0.7474747474747475,"(-0.5447702927828683, -0.1343139151729314)","(-0.572807790120864, -0.10780906272231017)","(-0.6108143795202623, -0.06554879462840323)"
0.7575757575757577,"(-0.5572602608413804, -0.1373933351276319)","(-0.5859405748873197, -0.11028080497341795)","(-0.6248185427262186, -0.06705163419588499)"
0.7676767676767677,"(-0.5703363835813883, -0.14061727237927696)","(-0.5996896817481053, -0.11286854618346229)","(-0.6394799218501941, -0.06862500208208543)"
0.7777777777777778,"(-0.584040914883646, -0.14399614468417682)","(-0.6140995392493059, -0.11558064831957095)","(-0.6548458933337767, -0.07027398243162196)"
0.787878787878788,"(-0.5984202698685426, -0.1475413957583808)","(-0.62921895134167, -0.11842629685072344)","(-0.6709684993373717, -0.07200416008499405)"
0.797979797979798,"(-0.6135255500846185, -0.15126562476367647)","(-0.6451016495988151, -0.12141560468161516)","(-0.6879050365988474, -0.07382168377122539)"
0.8080808080808082,"(-0.6294131502974498, -0.1551827359122798)","(-0.6618069312354974, -0.12455973223508807)","(-0.7057187367852018, -0.07573333911896686)"
0.8181818181818182,"(-0.6461454620637455, -0.1593081119340612)","(-0.6794003988923052, -0.12787102668818115)","(-0.7244795553629928, -0.07774663331315758)"
0.8282828282828284,"(-0.6637916925930819, -0.163658815968108)","(-0.697954821641457, -0.13136318402339736)","(-0.744265089733062, -0.07986989362352469)"
0.8383838383838385,"(-0.6824288215556087, -0.16825382746506848)","(-0.7175511410381857, -0.13505143837923037)","(-0.7651616520348214, -0.08211238253125712)"
0.8484848484848485,"(-0.7021427237304685, -0.1731143189777673)","(-0.7382796515481029, -0.13895278422027105)","(-0.7872655278966053, -0.08448443281025309)"
0.8585858585858587,"(-0.7230294920279838, -0.17826398235426738)","(-0.7602413916608937, -0.1430862381609225)","(-0.810684459851684, -0.08699760671808687)"
0.8686868686868687,"(-0.7451970038887219, -0.18372941493585795)","(-0.7835497909066808, -0.14747314895296232)","(-0.8355394036364429, -0.0896648844709899)"
0.8787878787878789,"(-0.7687667849436851, -0.1895405790452098)","(-0.8083326294325459, -0.15213756630054784)","(-0.8619666177875163, -0.09250088848639976)"
0.888888888888889,"(-0.7938762378995982, -0.19573135152131363)","(-0.8347343816010567, -0.157106681952612)","(-0.8901201627413199, -0.09552215157075578)"
0.8989898989898991,"(-0.8206813229716099, -0.2023401845840966)","(-0.8629190343758374, -0.16241136015568203)","(-0.9201749062234034, -0.09874743943916471)"
0.9090909090909092,"(-0.8493598003177778, -0.2094109052614029)","(-0.8930734966332666, -0.16808677932584168)","(-0.9523301587726964, -0.10219814085721822)"
0.9191919191919192,"(-0.8801151769262081, -0.21699368849981038)","(-0.9254117491826426, -0.1741732131306088)","(-0.9868140991212534, -0.10589874254518272)"
0.9292929292929294,"(-0.9131815432213066, -0.22514624963699986)","(-0.9601799302963138, -0.18071698764462774)","(-1.0238891971563449, -0.10987741113651295)"
0.9393939393939394,"(-0.9488295425137921, -0.23393531617841642)","(-0.9976626123872357, -0.18777166269310772)","(-1.0638589070642546, -0.1141667114443547)"
0.9494949494949496,"(-0.9873737954306528, -0.24343845830137115)","(-1.0381906085494028, -0.19539950113317966)","(-1.1070759918454691, -0.11880449979666403)"
0.9595959595959597,"(-1.0291822105830177, -0.25374638441386865)","(-1.0821507624145237, -0.20367331141834918)","(-1.1539529627418903, -0.1238350443305116)"
0.9696969696969697,"(-1.074687765275407, -0.2649658457057619)","(-1.1299983351748113, -0.21267877897970291)","(-1.204975288155724, -0.12931044249098336)"
0.9797979797979799,"(-1.1244035561169659, -0.27722334689903977)","(-1.1822728307986299, -0.22251744471484636)","(-1.260718268890082, -0.1352924319768911)"
0.98989898989899,"(-1.1789422297702548, -0.29066993692745696)","(-1.2396184268146646, -0.23331055029819825)","(-1.321868824543948, -0.14185472872097918)"
1.0,"(-1.2390413568464291, -0.30548746490762874)","(-1.302810654116269, -0.24520405962928404)","(-1.3892539435584579, -0.14908607997168444)"
