h,s,rrmse
0.0,-0.2,2.136093007839285
0.0,-0.1984924623115578,2.112097161285021
0.0,-0.1969849246231156,2.0881992492102506
0.0,-0.19547738693467337,2.0644005217152634
0.0,-0.19396984924623117,2.0407022886321022
0.0,-0.19246231155778895,2.017105922264947
0.0,-0.19095477386934676,1.9936128602713912
0.0,-0.18944723618090453,1.9702246086917832
0.0,-0.1879396984924623,1.9469427451340953
0.0,-0.18643216080402011,1.9237689221220724
0.0,-0.1849246231155779,1.9007048706146472
0.0,-0.1834170854271357,1.8777524037049185
0.0,-0.18190954773869347,1.8549134205071514
0.0,-0.18040201005025128,1.832189910240545
0.0,-0.17889447236180905,1.8095839565186058
0.0,-0.17738693467336686,1.7870977418531708
0.0,-0.17587939698492464,1.7647335523821308
0.0,-0.1743718592964824,1.7424937828299683
0.0,-0.17286432160804022,1.7203809417101197
0.0,-0.171356783919598,1.6983976567780028
0.0,-0.1698492462311558,1.6765466807432854
0.0,-0.16834170854271358,1.6548308972495134
0.0,-0.16683417085427138,1.6332533271286553
0.0,-0.16532663316582916,1.611817134937311
0.0,-0.16381909547738693,1.5905256357803363
0.0,-0.16231155778894474,1.5693823024263618
0.0,-0.16080402010050251,1.548390772718084
0.0,-0.1592964824120603,1.5275548572783053
0.0,-0.1577889447236181,1.5068785475103248
0.0,-0.1562814070351759,1.4863660238884968
0.0,-0.15477386934673368,1.4660216645314355
0.0,-0.15326633165829145,1.4458500540463952
0.0,-0.15175879396984926,1.4258559926287324
0.0,-0.15025125628140704,1.4060445053949795
0.0,-0.1487437185929648,1.3864208519218042
0.0,-0.14723618090452262,1.366990535955914
0.0,-0.14572864321608042,1.347759315251728
0.0,-0.1442211055276382,1.3287332114842003
0.0,-0.14271356783919598,1.3099185201735088
0.0,-0.14120603015075378,1.2913218205462564
0.0,-0.13969849246231156,1.2729499852443473
0.0,-0.13819095477386933,1.2548101897776396
0.0,-0.13668341708542714,1.2369099215998267
0.0,-0.13517587939698494,1.2192569886687463
0.0,-0.13366834170854272,1.20185952733237
0.0,-0.1321608040201005,1.184726009360294
0.0,-0.1306532663316583,1.1678652479176026
0.0,-0.12914572864321608,1.1512864022538116
0.0,-0.12763819095477386,1.134998980854518
0.0,-0.12613065326633166,1.1190128427777262
0.0,-0.12462311557788945,1.1033381968712819
0.0,-0.12311557788944724,1.0879855985430407
0.0,-0.12160804020100503,1.0729659437323027
0.0,-0.12010050251256282,1.058290459710733
0.0,-0.1185929648241206,1.0439706923248138
0.0,-0.11708542713567839,1.0300184892813242
0.0,-0.11557788944723618,1.0164459790742066
0.0,-0.11407035175879397,1.0032655451573191
0.0,-0.11256281407035176,0.9904897949850897
0.0,-0.11105527638190955,0.9781315235740611
0.0,-0.10954773869346734,0.9662036712848482
0.0,-0.10804020100502512,0.9547192755880698
0.0,-0.10653266331658291,0.9436914166609363
0.0,-0.1050251256281407,0.9331331567645531
0.0,-0.1035175879396985,0.9230574734760121
0.0,-0.10201005025125628,0.9134771869935223
0.0,-0.10050251256281408,0.9044048818955246
0.0,-0.09899497487437187,0.8958528239130235
0.0,-0.09748743718592964,0.8878328724638724
0.0,-0.09597989949748743,0.8803563898925443
0.0,-0.09447236180904522,0.8734341485517354
0.0,-0.09296482412060302,0.867076237044361
0.0,-0.0914572864321608,0.861291967106584
0.0,-0.0899497487437186,0.8560897827445452
0.0,-0.08844221105527639,0.8514771733295976
0.0,-0.08693467336683416,0.8474605924001731
0.0,-0.08542713567839195,0.8440453839056851
0.0,-0.08391959798994975,0.8412357175541413
0.0,-0.08241206030150754,0.8390345347886149
0.0,-0.08090452261306533,0.8374435067199147
0.0,-0.07939698492462312,0.8364630050890733
0.0,-0.07788944723618091,0.8360920870324297
0.0,-0.07638190954773869,0.8363284940861605
0.0,-0.07487437185929649,0.8371686655105683
0.0,-0.07336683417085427,0.8386077656531641
0.0,-0.07185929648241207,0.8406397247199492
0.0,-0.07035175879396985,0.8432572920017626
0.0,-0.06884422110552763,0.8464521003208775
0.0,-0.06733668341708543,0.8502147402330769
0.0,-0.0658291457286432,0.8545348423498526
0.0,-0.06432160804020101,0.8594011660379818
0.0,-0.06281407035175879,0.8648016927098168
0.0,-0.06130653266331659,0.8707237219339251
