h,0.75,0.85,0.95,1.00
0.11111111111111112,"(-0.031146808857615914, 0.028094420176995077)","(-0.03534229085086203, 0.0370775782090757)","(-0.042457440775133616, 0.05646293302766926)","(-0.06182400399722122, 0.12242210496083623)"
0.12121212121212122,"(-0.03093511425916527, 0.027903471658793397)","(-0.03510208094351, 0.036825574125242455)","(-0.04216887153784123, 0.05607917307366308)","(-0.06140380661004642, 0.1215900422455308)"
0.13131313131313133,"(-0.03072627787128427, 0.027715101246395913)","(-0.03486511424831905, 0.03657697249353259)","(-0.0418841984398464, 0.05570059448358765)","(-0.060989282549551445, 0.1207692136876621)"
0.14141414141414144,"(-0.030520242196607417, 0.02752925707718155)","(-0.03463132552301589, 0.036331704868312525)","(-0.0416033431042277, 0.05532709302622261)","(-0.06058031768791756, 0.11995939329462368)"
0.15151515151515152,"(-0.030316951269695802, 0.027345888670326952)","(-0.03440065126360473, 0.03608970462757461)","(-0.04132622924229313, 0.05495856724742403)","(-0.06017680093808175, 0.11916036109502569)"
0.16161616161616163,"(-0.03011635060635501, 0.02716494688109123)","(-0.034173029646858186, 0.03585090691260446)","(-0.04105278258449333, 0.054594918378247904)","(-0.0597786241531366, 0.1183719029394893)"
0.17171717171717174,"(-0.029918387154951865, 0.02698638385690366)","(-0.03394840047507645, 0.03561524857002777)","(-0.04078293081405955, 0.054236050246697115)","(-0.05938568202969787, 0.1175938103092981)"
0.18181818181818182,"(-0.029723009249638714, 0.026810152995172)","(-0.033726705123010826, 0.035382668096127876)","(-0.04051660350324182, 0.053881869192926486)","(-0.05899787201505827, 0.11682588013254658)"
0.19191919191919193,"(-0.029530166565398596, 0.026636208902733244)","(-0.033507886486853544, 0.035153105583330915)","(-0.040253732052029235, 0.05353228398774861)","(-0.05861509421795561, 0.11606791460744591)"
0.20202020202020204,"(-0.02933981007482912, 0.02646450735687265)","(-0.033291888935200326, 0.03492650266876077)","(-0.039994249629240364, 0.053187205754291686)","(-0.05823725132279215, 0.1153197210324635)"
0.21212121212121213,"(-0.029151892006587115, 0.026295005267840846)","(-0.03307865826189759, 0.03470280248477105)","(-0.039738091115877554, 0.052846547892667996)","(-0.057864248507150474, 0.11458111164299037)"
0.22222222222222224,"(-0.02896636580542006, 0.02612766064280218)","(-0.03286814164069008, 0.03448194961136594)","(-0.03948519305064416, 0.05251022600751886)","(-0.05749599336245894, 0.11385190345424508)"
0.23232323232323235,"(-0.028783186093714063, 0.02596243255115096)","(-0.032660287581589335, 0.03426389003042642)","(-0.039235493577529056, 0.05217815783830882)","(-0.05713239581766737, 0.11313191811013865)"
0.24242424242424243,"(-0.028602308634491622, 0.025799281091135495)","(-0.03245504588888728, 0.034048571081662295)","(-0.03898893239536751, 0.05185026319224801)","(-0.05677336806580054, 0.11242098173783788)"
