h,mean,0.95
0.0,-0.0024088034113642176,"(-0.045913585728774006, 0.06105916109720486)"
0.005025125628140704,-0.002399967873393591,"(-0.04574517379936527, 0.060835194901464794)"
0.010050251256281407,-0.002391196916390485,"(-0.04557799283126068, 0.06061286572586553)"
0.01507537688442211,-0.0023824898348775558,"(-0.045412029377537036, 0.060392155687729474)"
0.020100502512562814,-0.002373845933615619,"(-0.04524727018641807, 0.06017304716389938)"
0.02512562814070352,-0.002365264527418594,"(-0.04508370219774713, 0.05995552278604741)"
0.03015075376884422,-0.002356744940972449,"(-0.04492131253953618, 0.05973956543608577)"
0.035175879396984924,-0.002348286508658046,"(-0.0447600885245891, 0.05952515824167616)"
0.04020100502512563,-0.0023398885743777867,"(-0.04460001764719736, 0.05931228457183538)"
0.04522613065326633,-0.0023315504913859657,"(-0.04444108757990648, 0.059100928032635225)"
0.05025125628140704,-0.002323271622122734,"(-0.04428328617035126, 0.05889107246299367)"
0.05527638190954774,-0.002315051338051595,"(-0.04412660143815828, 0.05868270193055565)"
0.06030150753768844,-0.002306889019500327,"(-0.04397102157191385, 0.058475800727660766)"
0.06532663316582915,-0.0022987840555052735,"(-0.04381653492619593, 0.058270353367396215)"
0.07035175879396985,-0.0022907358436588905,"(-0.04366313001866844, 0.05806634457973246)"
0.07537688442211056,-0.002282743789960493,"(-0.04351079552723623, 0.05786375930773984)"
0.08040201005025126,-0.002274807308670115,"(-0.043359520287259624, 0.05766258270388419)"
0.08542713567839195,-0.0022669258221654012,"(-0.04320929328882666, 0.057462800126399295)"
0.09045226130653267,-0.002259098760801474,"(-0.043060103674082, 0.0572643971357347)"
0.09547738693467336,-0.0022513255627736816,"(-0.04291194073461088, 0.057067359491076664)"
0.10050251256281408,-0.002243605673983179,"(-0.042764793908876934, 0.056871673146940825)"
0.10552763819095477,-0.002235938547905261,"(-0.04261865277971254, 0.05667732424983467)"
0.11055276381909548,-0.0022283236454603847,"(-0.042473507071860414, 0.056484299134988175)"
0.11557788944723618,-0.0022207604348878254,"(-0.042329346649565384, 0.056292584323151186)"
0.12060301507537688,-0.0022132483916218852,"(-0.04218616151421485, 0.05610216651745552)"
0.12562814070351758,-0.0022057869981706177,"(-0.04204394180202719, 0.05591303260034083)"
0.1306532663316583,-0.0021983757439969897,"(-0.04190267778178658, 0.055725169630542214)"
0.135678391959799,-0.0021910141254024313,"(-0.041762359852623415, 0.05553856484013853)"
0.1407035175879397,-0.0021837016454127234,"(-0.04162297854183922, 0.055353205631659665)"
0.1457286432160804,-0.002176437813666155,"(-0.04148452450277483, 0.055169079575251634)"
0.15075376884422112,-0.002169222146303912,"(-0.041346988512721145, 0.05498617440589806)"
0.15577889447236182,-0.002162054165862634,"(-0.04121036147087118, 0.054804478020696684)"
0.16080402010050251,-0.0021549334011690983,"(-0.04107463439631265, 0.05462397847618979)"
0.1658291457286432,-0.0021478593872369754,"(-0.04093979842606005, 0.05444466398574711)"
0.1708542713567839,-0.0021408316651656133,"(-0.04080584481312543, 0.05426652291700018)"
0.17587939698492464,-0.002133849782040801,"(-0.04067276492462685, 0.05408954378932686)"
0.18090452261306533,-0.002126913290837469,"(-0.04054055023993379, 0.05391371527138494)"
0.18592964824120603,-0.002120021750324278,"(-0.040409192348848565, 0.05373902617869368)"
