h=0.5,h=0.25,h=0.0
-0.10606534876035294,-0.07809888791340848,-0.06180313321592564
-0.2178191310811766,-0.16038632882960627,-0.12692085523240335
-0.18404612491491962,-0.13551831817480794,-0.10724168928809939
-0.2964529520180624,-0.21828661426051085,-0.17273993344634486
-0.17302338389306393,-0.12740196513749794,-0.10081885714036745
-0.2686345321137311,-0.197803132299354,-0.1565304406072792
-0.31098911219914255,-0.22898999625983435,-0.18120999699319798
-0.2187623710470114,-0.1610808628431004,-0.12747047097349506
-0.32435928053321766,-0.23883482579474324,-0.18900064968352384
-0.31889017601379555,-0.23480777090979554,-0.18581386154643517
-0.34756580759638056,-0.2559224418460555,-0.20252284237252535
-0.26057438927078763,-0.19186822330396297,-0.15183388242231208
-0.3279075959675168,-0.24144754986177927,-0.19106821476525096
-0.11225336474258266,-0.08265529745008449,-0.06540882329814196
-0.15623969410534638,-0.11504366412001858,-0.0910391823650669
-0.21116968313617307,-0.15549015401085156,-0.12304629372894811
-0.06652061489175858,-0.04898099244552163,-0.038760843874181425
-0.33804548839829157,-0.2489123640907712,-0.1969754551953329
-0.194262733049407,-0.14304109298181264,-0.11319479650860435
-0.16148120008412267,-0.11890313182288562,-0.09409335129058757
-0.18314308329678822,-0.13485338333096053,-0.10671549669007191
-0.4098004793184331,-0.3017475742569262,-0.23878631344994436
-0.18921110901759094,-0.13932144067639396,-0.11025126974285065
-0.18902991275693692,-0.1391880207931188,-0.11014568863868882
-0.07144641655322422,-0.052607998214499845,-0.041631055303614675
-0.16881402297704579,-0.12430249476183396,-0.09836610799573989
-0.2033082462583728,-0.14970155778471858,-0.11846551936384372
-0.3219591676206934,-0.23706755541355323,-0.18760212981063723
-0.06094769425190603,-0.04487749484249619,-0.03551356320493298
-0.34797994806585103,-0.25622738507665443,-0.20276415755136498
-0.15852787420034184,-0.11672851523165273,-0.0923724801940549
-0.2373194588239017,-0.1747449664851032,-0.13828348560437215
-0.21009783627385203,-0.15470092313630945,-0.12242174013822951
-0.11225043084791525,-0.08265313714124227,-0.06540711374940536
-0.2732957254491476,-0.20123529954436,-0.15924646762289593
-0.21147007064733786,-0.15571133775124596,-0.12322132628751599
-0.15299435289727664,-0.1126540284641507,-0.08914815709283926
-0.18098186396980018,-0.1332620169898561,-0.1054561775294244
-0.22309350699416183,-0.16426999958594468,-0.12999417711359196
-0.21755239111516356,-0.16018992071940671,-0.1267654287350016
-0.1743673019630983,-0.1283915296648684,-0.1016019436854491
-0.269844939542474,-0.19869438920098864,-0.1572357319435964
-0.2359887220563353,-0.17376510772003903,-0.13750807966188042
-0.25558818386479837,-0.18819674056556698,-0.14892847438330592
-0.20990746881540834,-0.1545607502431533,-0.12231081507616465
-0.30355858249380446,-0.22351868905746394,-0.17688030758368595
-0.43598267372898303,-0.3210262575450629,-0.2540423953650338
-0.24672525848939847,-0.18167072030005876,-0.1437641434867351
-0.1309146747633703,-0.09639614285025201,-0.07628256710493685
-0.2240426147493331,-0.16496885421712443,-0.13054721195215788
-0.00993031721658609,-0.007311970783172927,-0.0057862885945883895
-0.3351529163730807,-0.24678248226773752,-0.19528998471604675
-0.28112613517703755,-0.20700104961072976,-0.16380916280284105
-0.10163938191235082,-0.0748399245214002,-0.05922417013407705
-0.23473675900707916,-0.17284325225076128,-0.1367785743142912
-0.18336475896794555,-0.13501660933829646,-0.10684466470955603
-0.29257608583683986,-0.21543196907354514,-0.17048092539273652
-0.1562396941053477,-0.11504366412001955,-0.09103918236506767
-0.3547512290565806,-0.2612132689803601,-0.20670970985476675
-0.38845727743197805,-0.2860319767377996,-0.22634986021748163
-0.32315982907197155,-0.23795163607892866,-0.18830174227114246
-0.11790020950682342,-0.08681322745702098,-0.06869917875629021
-0.23248547385133406,-0.1711855679165786,-0.13546677476793867
-0.14932770112567306,-0.10995417003654129,-0.08701163870539835
-0.2840616041767221,-0.20916251767790825,-0.16551962888586533
-0.11884344947265925,-0.08750776147051584,-0.06924879449738253
-0.11431141759646235,-0.08417069942663559,-0.06660802846910811
-0.2854074301503661,-0.21015348704815998,-0.16630382714577494
-0.16070079376642055,-0.11832849678660395,-0.09363861695765788
-0.1741478201195527,-0.12822991903426717,-0.10147405398562097
-0.2878018796101725,-0.21191658727044146,-0.16769904698592816
-0.23007960914717251,-0.1694140623300588,-0.13406490338818444
-0.20390982029162028,-0.15014451359963193,-0.118816050056012
-0.2055242290155778,-0.15133324797379277,-0.11975674858383314
-0.18140918960544888,-0.13357666882771937,-0.10570517556219615
-0.17179561612836464,-0.126497925334116,-0.1001034501237802
-0.10855724268136238,-0.07993373922256447,-0.06325513289122081
-0.1302952548826785,-0.09594004663788028,-0.07592163783019809
-0.12253657962461914,-0.09022711667142345,-0.0714007415510903
-0.2993762386230215,-0.22043911208914013,-0.17444330097953256
-0.37899138645041835,-0.2790619760032551,-0.22083418777423552
-0.12372492783559193,-0.09110213075298328,-0.07209317921945264
-0.2619390870829353,-0.19287308853763516,-0.15262907709870174
-0.32092745005482853,-0.2363078728642899,-0.18700095912756692
-0.18681392999973462,-0.1375563306040466,-0.10885445941870099
-0.2938750288802049,-0.2163884172287186,-0.17123780547550865
-0.34954318269204876,-0.25737843852889564,-0.20367503748510218
-0.4306626602468194,-0.31710898256791575,-0.25094248096517113
-0.3328339333594194,-0.24507495010408775,-0.19393873835902395
-0.030429828733918248,-0.02240633544593447,-0.017731132560826864
-0.1674581848634978,-0.12330415317246192,-0.09757607577003945
-0.27130619504207,-0.19977035256517509,-0.1580871897416383
-0.09497676370152955,-0.06993405206693404,-0.05534193445896882
-0.22342026097397363,-0.16451059769591025,-0.13018457312868234
-0.35086958619639264,-0.25835510659084454,-0.20444791848191346
-0.17292389231094576,-0.12732870669813967,-0.10076088446997718
-0.1418433064809562,-0.1044432005701782,-0.08265056277745211
-0.1414324694199416,-0.10414068973177659,-0.08241117245904292
-0.2760146464999548,-0.20323731728978006,-0.16083075355482918
-0.34154071453046503,-0.251485997017255,-0.19901208571407633
-0.2514048381518306,-0.18511642591277408,-0.14649088401653138
-0.2628822690341752,-0.19356757983335768,-0.15317865903531558
-0.10340469981410201,-0.07613977755117628,-0.060252801809978065
-0.1257573552171456,-0.09259866397631471,-0.07327745270444976
-0.2106527467468636,-0.1551095192644533,-0.1227450804778152
-0.41285300468487723,-0.30399523420650504,-0.2405649870136696
-0.05931876287151846,-0.043678067029526264,-0.034564402482054876
-0.35188017684053785,-0.2590992327957351,-0.20503677873586873
-0.28937179881894715,-0.2130725627681153,-0.1686138219537394
-0.08401781153025327,-0.06186466854747081,-0.048956271385549324
-0.11928022443445814,-0.08782937111196422,-0.06950329855044918
-0.2555315892571572,-0.18815506837035592,-0.14889549731665566
-0.035814410677837014,-0.026371153990479415,-0.020868670306014324
-0.23174312981454614,-0.17063895920412078,-0.1350342189150247
-0.24517905291740494,-0.1805322058175292,-0.14286318619896873
-0.13150230091986032,-0.09682882845273273,-0.07662497051995575
-0.19923305852615528,-0.14670088288340224,-0.11609095148434517
-0.27444554408442096,-0.20208194321985345,-0.15991645452361797
-0.26221971691111073,-0.19307972414249563,-0.15279259706877485
-0.21351135772749286,-0.15721439461887873,-0.12441076222320326
-0.14442453302726885,-0.10634382999416725,-0.08415461560871831
-0.2468728062756324,-0.18177936386889285,-0.1438501179882562
-0.45325017262349243,-0.3337408007626994,-0.26410398048171924
-0.14336503477632362,-0.1055636917481508,-0.08353725742048329
-0.267884523520495,-0.19725087995924637,-0.15609341870010016
-0.3042399484407763,-0.22402039789397377,-0.177277332162228
-0.29873088084154614,-0.21996391707372218,-0.1740672579701368
-0.2679641801488491,-0.19730953336643445,-0.15613983375714977
-0.18347962568014625,-0.13510118891669784,-0.10691159630219384
-0.2312313405472546,-0.17026211442787068,-0.1347360048363027
-0.16036644521067397,-0.11808230657760119,-0.0934437956651918
-0.3400295480765351,-0.25037328281904275,-0.19813154534198282
-0.2071378209462946,-0.15252138092020645,-0.12069697117505428
-0.1917785036848456,-0.14121188530030637,-0.11174726288757418
-0.07062359434570943,-0.0520021311701878,-0.04115160568978314
-0.3134415478395023,-0.23079579333144967,-0.18263900475450837
-0.06220000741521163,-0.04579960811055768,-0.03624327256019759
-0.2015937131580325,-0.14843909902705354,-0.11746647944324852
-0.17719211811579683,-0.13047152094066242,-0.10324793354958636
-0.15573185986258084,-0.11466973153913444,-0.09074327283642188
-0.29173425021793414,-0.2148121019217293,-0.16999039686943251
-0.13287611191520488,-0.09784040397851584,-0.07742547534977176
-0.06798079124690341,-0.05005616120541442,-0.03961167286640639
-0.27548068105644036,-0.20284414357366953,-0.16051961765772496
-0.2980851534360702,-0.21948844989379687,-0.17369099958482784
-0.2869465816259963,-0.21128680740190336,-0.1672006740877747
-0.1647202147208854,-0.12128810904704934,-0.09598069013804167
-0.17994206631651466,-0.13249638484584594,-0.10485029866667904
-0.2653205022422087,-0.1953629192561432,-0.15459939119269586
-0.2172293110970735,-0.1599520278503898,-0.12657717349772765
-0.10549591563091197,-0.077679598346456,-0.06147133068128337
-0.29303025936663013,-0.21576638976805934,-0.17074556740346705
-0.1405857871415559,-0.10351725384879733,-0.08191781983960388
-0.27788094125174434,-0.20461152240329664,-0.16191822335069664
-0.22080250900220025,-0.16258307357782567,-0.12865923732647513
-0.06858823306948869,-0.05050343763801442,-0.039965622656049624
-0.3989319398461761,-0.2937447641408335,-0.2324533328797854
-0.2707156126567315,-0.1993354902085689,-0.1577430637639967
-0.15788795564034155,-0.1162573252673969,-0.09199960656026901
-0.23600950179844646,-0.1737804084263392,-0.13752018779318717
-0.11217357282885965,-0.082596544428489,-0.06536232941176896
-0.3191279668820922,-0.23498286298828286,-0.1859524197172481
-0.2855308947860335,-0.21024439751849694,-0.16637576865555914
-0.21916598304588092,-0.1613780536658208,-0.12770565132622308
-0.14538855273521578,-0.10705366471396226,-0.08471633948111737
-0.1947673218983126,-0.14341263588827188,-0.11348881498129748
-0.12063470527519567,-0.08882671330333937,-0.07029253990794153
-0.2546139167490516,-0.18747936039230848,-0.14836077945705398
-0.2037618450084923,-0.15003555525285764,-0.11872982645666773
-0.27018367158039364,-0.19894380709072695,-0.1574331074437831
-0.23946051561453072,-0.17632148658579497,-0.13953105627283885
-0.17241497799446234,-0.12695397882871673,-0.10046434559404155
-0.22001692081133073,-0.16200462298315088,-0.12820148357201505
-0.2837838502286182,-0.20895799966411766,-0.16535778466005036
-0.34153778063579826,-0.2514838367084133,-0.19901037616534012
-0.2867281789269017,-0.2111259913755957,-0.1670734131937634
-0.23700697725692854,-0.17451487755257933,-0.13810140597010065
-0.29654811906186784,-0.21835668842114936,-0.17279538625496532
-0.0892903446589405,-0.06574698241010149,-0.052028519496229594
-0.17118780479199278,-0.1260503768181623,-0.09974928502244428
-0.26658601997143133,-0.19629475541604027,-0.15533679470591089
-0.136044584067567,-0.10017343879503439,-0.07927170985342509
-0.058986268136723294,-0.04343324184082833,-0.034370661391035895
-0.2725533814123609,-0.20068869083190308,-0.15881391176998266
-0.0554818708067577,-0.04085285590446175,-0.032328686914388
-0.04128011812528495,-0.030395707516157163,-0.024053479005952054
-0.1365601288839667,-0.10055304888731167,-0.07957211225005249
-0.15925265345248668,-0.11726219050106722,-0.09279480123665718
-0.131256915475629,-0.09664814427520833,-0.07648198707176719
-0.14151361860647677,-0.10420044215137023,-0.082458457213625
-0.269257197388283,-0.19826161818615082,-0.15689326093796996
-0.35055787120370724,-0.2581255821084457,-0.2042662855222004
-0.20368498698943635,-0.14997896254010412,-0.11868504211903114
-0.26177286075816275,-0.19275069143756055,-0.15253221881450257
-0.3288913124094159,-0.2421718878386245,-0.19164141571179905
-0.2365283500233027,-0.17416245091081425,-0.13782251505024534
-0.3221863600378738,-0.23723484355554808,-0.18773451237844813
-0.27966302492722356,-0.2059237205419935,-0.16295662426187849
-0.2590493909377989,-0.1907453243056735,-0.1509452823636754
-0.0759447116160848,-0.05592021889752,-0.04425216325511592
-0.37949449003140434,-0.2794324252653326,-0.2211273407973528
-0.36287218083824796,-0.2671929533010109,-0.2114417007515912
-0.27254720212383193,-0.20068414084863473,-0.1588103111652932
-0.1117305025493426,-0.08227029936822952,-0.06510415714505743
-0.13500376435515954,-0.09940705408025785,-0.07866523544786762
-0.1960574052430793,-0.14436256039914616,-0.11424053261338117
-0.3887379652747488,-0.286238655060432,-0.22651341399203287
-0.28525812174329923,-0.2100435470848795,-0.16621682674950922
-0.14090043602890825,-0.10374893864003798,-0.08210116234805324
-0.30622400811901945,-0.22548131662224505,-0.17843342230887768
-0.22866360973704683,-0.1683714222924842,-0.13323981582471073
-0.14589831903046335,-0.10742901991921902,-0.0850133747958775
-0.041700495897878956,-0.030705243447795755,-0.024298428593958813
-0.3323140050608468,-0.24469211233107502,-0.19363578175467605
-0.13655685884634594,-0.10055064106699522,-0.07957020683444731
-0.3399227391175756,-0.2502946363901061,-0.19806930891513486
-0.2373301152896127,-0.17475281313936725,-0.138289695011852
-0.0670332258134896,-0.049358442228955746,-0.039059536722071464
-0.2874031142707851,-0.21162296517888604,-0.1674666907293364
