Date,TP,Treatment,Treatment_Cage,Dose_ppm,mean_Survival,n_class
2021-07-26,2,E,E8,2.5,50,2
2021-07-26,2,E,E8,5,12,2
2021-07-26,2,E,E8,7.5,4,2
2021-07-26,2,E,E8,10,5,2
2021-07-26,2,E,E9,0,88,2
2021-07-26,2,E,E9,2.5,52,2
2021-07-26,2,E,E9,5,7,2
2021-07-26,2,E,E9,7.5,3,2
2021-07-26,2,E,E9,10,5,2
2021-07-26,2,P,P1,0,85,2
2021-07-26,2,P,P1,2.5,47,2
2021-07-26,2,P,P1,5,6,2
2021-07-26,2,P,P1,7.5,5,2
2021-07-26,2,P,P1,10,3,2
2021-07-26,2,P,P10,0,89,2
2021-07-26,2,P,P10,2.5,46,2
2021-07-26,2,P,P10,5,12,2
2021-07-26,2,P,P10,7.5,2,2
2021-07-26,2,P,P10,10,2,2
2021-07-26,2,P,P2,0,87,2
2021-07-26,2,P,P2,2.5,49,2
2021-07-26,2,P,P2,5,11,2
2021-07-26,2,P,P2,7.5,5,2
2021-07-26,2,P,P2,10,4,2
2021-07-26,2,P,P3,0,81,2
2021-07-26,2,P,P3,2.5,54,2
2021-07-26,2,P,P3,5,16,2
2021-07-26,2,P,P3,7.5,5,2
2021-07-26,2,P,P3,10,5,2
2021-07-26,2,P,P4,0,92,2
2021-07-26,2,P,P4,2.5,39,2
2021-07-26,2,P,P4,5,5,2
2021-07-26,2,P,P4,7.5,4,2
2021-07-26,2,P,P4,10,1,2
2021-07-26,2,P,P5,0,94,2
2021-07-26,2,P,P5,2.5,42,2
2021-07-26,2,P,P5,5,15,2
2021-07-26,2,P,P5,7.5,2,2
2021-07-26,2,P,P5,10,7,2
2021-07-26,2,P,P6,0,87,2
2021-07-26,2,P,P6,2.5,49,2
2021-07-26,2,P,P6,5,7,2
2021-07-26,2,P,P6,7.5,7,2
2021-07-26,2,P,P6,10,8,2
2021-07-26,2,P,P7,0,88,2
2021-07-26,2,P,P7,2.5,34,2
2021-07-26,2,P,P7,5,11,2
2021-07-26,2,P,P7,7.5,2,2
2021-07-26,2,P,P7,10,5,2
2021-07-26,2,P,P8,0,87,2
2021-07-26,2,P,P8,2.5,39,2
2021-07-26,2,P,P8,5,9,2
2021-07-26,2,P,P8,7.5,4,2
2021-07-26,2,P,P8,10,2,2
2021-07-26,2,P,P9,0,81,2
2021-07-26,2,P,P9,2.5,44,2
2021-07-26,2,P,P9,5,9,2
2021-07-26,2,P,P9,7.5,0,2
2021-07-26,2,P,P9,10,2,1
2021-08-25,4,E,E1,0,78,2
2021-08-25,4,E,E1,2.5,42,2
2021-08-25,4,E,E1,5,37,2
2021-08-25,4,E,E1,7.5,16,2
