h,s,L
0.0,-0.044304834775886565,13.382441661783572
0.0,-0.04389420656610462,13.82741053052242
0.0,-0.043483578356322675,14.269782489034421
0.0,-0.04307295014654073,14.70892141857531
0.0,-0.042662321936758785,15.144165694718602
0.0,-0.04225169372697684,15.574813812959873
0.0,-0.041841065517194895,16.000109689583837
0.0,-0.04143043730741295,16.41922837032124
0.0,-0.041019809097631005,16.83126292431124
0.0,-0.04060918088784905,17.235213313561808
0.0,-0.040198552678067115,17.62997800640118
0.0,-0.03978792446828516,18.014349046196443
0.0,-0.03937729625850322,18.387011193830403
0.0,-0.03896666804872127,18.74654563522172
0.0,-0.03855603983893933,19.091438586130185
0.0,-0.03814541162915738,19.420094939921004
0.0,-0.03773478341937544,19.730856896049946
0.0,-0.03732415520959349,20.022027286005876
0.0,-0.03691352699981155,20.291897089413204
0.0,-0.0365028987900296,20.538776417674082
0.0,-0.03609227058024766,20.761028048559616
0.0,-0.03568164237046571,20.957102435368824
0.0,-0.03527101416068377,21.125573000471135
0.0,-0.03486038595090182,21.265170465037023
0.0,-0.03444975774111988,21.37481497112234
0.0,-0.03403912953133793,21.453644821485575
0.0,-0.03362850132155598,21.50104079442643
0.0,-0.03321787311177404,21.516645178476967
0.0,-0.03280724490199209,21.500374903473855
0.0,-0.03239661669221015,21.452428405262257
0.0,-0.0319859884824282,21.373286133507627
0.0,-0.031575360272646256,21.263704877617798
0.0,-0.03116473206286431,21.124706327201785
0.0,-0.030754103853082367,20.957560486045303
0.0,-0.03034347564330042,20.76376471124851
0.0,-0.029932847433518477,20.545019245739432
0.0,-0.02952221922373653,20.303200151680674
0.0,-0.029111591013954587,20.040330538045254
0.0,-0.02870096280417264,19.758550915720022
0.0,-0.028290334594390697,19.460089418790588
0.0,-0.02787970638460875,19.147232513689318
0.0,-0.027469078174826807,18.822296691446954
0.0,-0.02705844996504486,18.487601514049906
0.0,-0.026647821755262913,18.145444273471075
0.0,-0.02623719354548097,17.798076428068594
0.0,-0.025826565335699023,17.447681909439808
0.0,-0.02541593712591708,17.096357344137854
0.0,-0.025005308916135133,16.74609420700326
0.0,-0.02459468070635319,16.398762912351355
0.0,-0.024184052496571243,16.056098850808194
0.0038069133546520485,-0.044304834775886565,13.142588803554688
0.0038069133546520485,-0.04389420656610462,13.585765979799023
0.0038069133546520485,-0.043483578356322675,14.026567284482919
0.0038069133546520485,-0.04307295014654073,14.464365597157387
0.0038069133546520485,-0.042662321936758785,14.898511330972674
0.0038069133546520485,-0.04225169372697684,15.328318018578416
0.0038069133546520485,-0.041841065517194895,15.753047407350204
0.0038069133546520485,-0.04143043730741295,16.17189479491201
